participant,age,content,specificity,r_confidence,z_confidence,r_vividness,z_vividness
100,0,object,detail,-0.20521612758974672,-0.2081719848734331,-0.145525952821163,-0.14656651390321057
101,0,object,detail,0.3829708431025352,0.40353648519334306,0.3829708431025352,0.40353648519334306
102,0,object,detail,0.087133425145186,0.08735494757876344,0.19605020657666852,0.19862154556713754
103,0,object,detail,-0.3199969999469121,-0.33164376640357324,-0.24215989185171727,-0.24706728366749417
104,0,object,detail,0.3631500935296892,0.3805097717193787,0.32856437033638547,0.34121803328467415
105,0,object,detail,0.4187178946793119,0.44613633066812275,0.27914526311954124,0.2867548640967108
106,0,object,detail,0.08014691611446194,0.08031918922179175,0.13843558237952516,0.13933023790325919
107,1,object,detail,-0.4414603244291754,-0.474043168693229,-0.41620520566995944,-0.44309332075210894
108,0,object,detail,0.012209353913347196,0.012209960643585526,0.06104676956673598,0.061122774083600846
109,0,object,detail,-0.04718185784209595,-0.04721691562692804,-0.07071067811865475,-0.07082888406986443
10,1,object,detail,0.15084899057221546,0.15200908187670376,-0.1077492789801539,-0.1081691943654599
110,0,object,detail,0.13930709108798398,0.1402188844414084,0.15464739353293547,0.1558982316421705
111,0,object,detail,-0.021677749238103,-0.02168114583325303,0.065033247714309,0.06512516328180709
112,0,object,detail,0.13064310271149343,0.13139406373826826,0.3133397807202561,0.3242445195583373
113,1,object,detail,-0.1392067226773677,-0.14011653114583625,-0.36426712970216085,-0.3817971011324004
116,1,object,detail,0.18446619684315546,0.18660230662072283,0.38234290116272546,0.4028008229216797
117,1,object,detail,0.12371791482634838,0.12435498968022954,0.24743582965269675,0.2526795589751088
118,1,object,detail,0.08609759276087933,0.08631128528665433,0.03977196492840078,0.03979295540703029
11,1,object,detail,0.11396057645963796,0.11445779248808484,0.399411036475085,0.42294797961307334
120,1,object,detail,-0.4564354645876384,-0.4927994134700757,-0.3651483716701107,-0.38281354174436805
121,1,object,detail,-0.1497442917202688,-0.15087885204675977,0.23904572186687872,0.2437617542107562
122,1,object,detail,0.4584586919847471,0.4953580593462233,0.4146139914483855,0.4411702509948145
123,1,object,detail,-0.035370855996242664,-0.03538561787491719,0.15327370931705156,0.1544911949959722
125,0,object,detail,0.28697202159177576,0.2952634040331217,0.39629469648388077,0.4192455954469138
126,1,object,detail,0.14910735011892415,0.15022736394556885,0.3054972263006596,0.3155715537584416
127,0,object,detail,0.15784558672827878,0.15917645916753426,0.06070984104933799,0.06078459220407663
128,0,object,detail,-0.4654746681256314,-0.5042776757930959,-0.3808429102846075,-0.4010451879605949
129,0,object,detail,-0.16070608663330627,-0.1621114176334857,-0.09642365197998376,-0.0967241638109511
12,1,object,detail,-0.26186146828319085,-0.2681058730856481,-0.32732683535398854,-0.3398313641010903
130,0,object,detail,-0.0280056016805602,-0.028012926853939284,-0.05605243354952361,-0.056111247713746364
131,0,object,detail,-0.14255123855994117,-0.1435287728427425,-0.2890210732421289,-0.29749778041962616
132,0,object,detail,-0.06978631577988531,-0.0698999374501826,-0.06978631577988531,-0.0698999374501826
133,0,object,detail,-0.24248280229258634,-0.2474103381459316,0.024232454090144687,0.024237198956582436
135,0,object,detail,-0.0792514238190072,-0.07941797237327844,0.07910542782677078,0.07927105532501942
136,0,object,detail,0.15084899057221546,0.15200908187670376,0.02154985579603078,0.021553192616834548
137,0,object,detail,0.022473328748774734,0.022477113284348153,0.022473328748774734,0.022477113284348153
138,0,object,detail,0.25860727100631337,0.2646152822983336,0.21882153700534207,0.22241804406412594
139,0,object,detail,0.12461119656980671,0.1252622587063895,0.024922239313961342,0.024927401121668913
13,1,object,detail,0.5422553709667823,0.6073448502784647,0.5838403593598093,0.6682694229382813
140,0,object,detail,0.3689640277608545,0.3872233397176784,0.4509560339299333,0.4858997148375426
141,0,object,detail,0.5222329678670935,0.5794051802149734,0.3133397807202561,0.3242445195583373
142,1,object,detail,0.0,0.0,0.0,0.0
143,1,object,detail,0.29000267424316706,0.298569183460846,0.32954849345814435,0.3423216545965773
144,1,object,detail,0.032501354251307964,0.0325128056489336,-0.16337194208025665,-0.16484915876597497
145,0,object,detail,-0.2131433966297847,-0.21646204664954474,-0.3927922024247863,-0.41509736104706074
146,0,object,detail,0.16295554905607718,0.16442137715850608,0.3606517363451825,0.37763488119341493
147,0,object,detail,-0.4508971841525424,-0.4858258446874068,-0.43355498476205995,-0.4642663131562293
148,1,object,detail,-0.414208434789757,-0.4406806039850216,0.0,0.0
149,0,object,detail,0.05957554687344993,0.05964618010427416,-0.0223471401553641,-0.02235086128466609
14,1,object,detail,0.3282021209519286,0.340811998956039,0.31499615351814575,0.32608228298894615
150,1,object,detail,-0.43301270189221935,-0.46359869504250245,-0.43301270189221935,-0.46359869504250245
151,1,object,detail,0.0,0.0,0.0,0.0
153,0,object,detail,0.34641016151377546,0.3613585967939577,0.34641016151377546,0.3613585967939577
154,0,object,detail,-0.4828045495852676,-0.5266348446103782,-0.14484136487558028,-0.14586718527293446
155,1,object,detail,0.013399344137297778,0.013400146140601444,0.05359737654919111,0.053648787873223934
156,1,object,detail,0.12371791482634839,0.12435498968022955,0.0,0.0
