participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt,resp_ret_confidence.keys,resp_ret_confidence.rt,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
100,17,1,Summer,Puppy,Sandra,Circus,15.0042,9,1.703703739,1.3388,object,person,place,0,18.0,3,0,3.8666,3,1,5.6884,1,1,1.9037,2,1,1.5881,1,0,1.067,1,3,1,0.442,2.300925855,1.9113,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,11,2,Games,Binoculars,Harrison,Lake,12.2719,6,5.805555697,0.4241,object,place,person,1,3.17,3,1,0.9165,2,1,3.1943,2,0,1.6135,2,1,1.9508,1,1,2.3464,2,10,2,2.0348,5.805555697,1.6655,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,18,3,DIY,Chair,Beyonce,Winecellar,18.8351,15,5.888889171,0.561,person,object,place,1,2.1939,2,1,1.0703,3,1,1.9087,4,1,1.3843,2,1,0.5099,1,0,2.4026,2,8,1,0.3454,5.888889171,1.0555,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,4,4,Exercise,Beachball,Will,Casino,10.3913,23,2.462962892,1.585,object,person,place,1,4.0722,1,1,2.2218,2,1,1.1704,2,1,1.5167,1,0,2.2024,1,1,1.5095,1,13,1,0.326,3.64814836,2.1042,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,10,5,Work,Easel,Sean,Aquarium,16.0599,18,5.370370794,2.2192,object,place,person,1,5.1333,2,1,1.853,4,1,2.5006,4,1,1.1682,1,1,2.2446,2,0,2.1594,2,2,3,1.0499,4.462963104,1.6354,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,15,6,Celebration,Football,Meryl,Harbor,12.1179,14,5.888889171,0.4588,object,person,place,1,6.0648,1,1,1.9305,3,1,1.9592,4,0,1.2049,1,1,2.6581,1,0,1.2225,2,1,1,1.8574,5.888889171,1.6379,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,5,7,Party,Satchel,Judi,Bowling,10.6002,19,5.935185468,0.928,place,person,object,1,7.1358,3,1,2.6914,3,1,1.9158,1,1,2.7027,2,0,1.305,2,1,0.8504,2,19,2,1.2865,5.370370794,1.184,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,7,8,Art,Headphones,Nicole,Avenue,6.0039,24,4.162037178,0.4062,person,object,place,0,13.3398,4,1,1.9393,2,1,1.4713,3,1,2.2849,1,0,0.6207,1,0,0.769,2,7,3,0.6758,4.162037178,2.0353,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,12,9,Studying,Trampoline,Elvis,Classroom,9.7178,10,1.805555626,0.4862,place,person,object,1,7.8775,4,1,2.3248,4,1,1.7074,4,1,1.638,2,1,1.2018,2,1,1.3422,1,18,1,0.4812,1.805555626,1.7801,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
100,23,10,Eating,Hammock,Brad,Restaurant,13.6449,8,5.268518377,1.1279,person,object,place,1,9.1345,1,1,0.9737,3,1,1.1908,3,1,1.2359,1,1,1.3786,2,1,1.2131,2,22,2,1.2948,5.060185044,1.763,4,2,4,4,2,2,4,4,2,4,1,4,2,2,2,4,5,2,4,5,4,4,2,4,4,2,4,3,2,4,4,4,5,5,5,3,4,2,5,4,5,4,0
