participant,event,vividness,confidence,age,detail_object,detail_person,detail_place,gist_object,gist_person,gist_place
100,17,1.703703739,2.300925855,0,0,0,0,0,0,1
100,11,5.805555697,5.805555697,0,0,1,1,1,1,1
100,18,5.888889171,5.888889171,0,1,1,0,1,1,1
100,4,2.462962892,3.64814836,0,1,0,1,1,1,1
100,10,5.370370794,4.462963104,0,1,0,1,1,1,1
100,15,5.888889171,5.888889171,0,0,1,0,1,1,1
100,5,5.935185468,5.370370794,0,1,0,1,1,1,1
100,7,4.162037178,4.162037178,0,0,0,0,1,0,1
100,12,1.805555626,1.805555626,0,1,1,1,1,1,1
100,23,5.268518377,5.060185044,0,1,1,1,1,1,1
100,19,1.009259295,1.009259295,0,0,0,0,0,0,0
100,16,5.194444727,4.069444586,0,1,1,0,1,1,0
100,3,4.564814815,3.625000212,0,1,0,1,1,0,1
100,24,5.768518519,5.768518519,0,0,1,1,1,1,1
100,6,5.833333757,5.944444586,0,1,1,0,1,1,1
100,9,5.222222081,4.499999929,0,1,1,1,1,1,1
100,14,5.462963387,5.800925785,0,1,1,1,1,1,1
100,8,5.902778202,5.902778202,0,0,1,1,1,1,1
100,1,5.972222646,5.972222646,0,1,1,0,1,1,1
100,20,5.888889171,5.856481905,0,1,1,1,1,1,1
100,2,5.962962822,5.962962822,0,1,1,1,1,1,1
100,13,5.222222081,4.814814885,0,1,0,1,1,1,1
100,22,4.981481481,4.981481481,0,1,1,1,1,1,1
100,21,4.736111323,5.037036896,0,1,1,1,1,1,1
101,16,4.620370653,4.620370653,0,1,0,0,1,1,0
101,4,2.152777778,2.157407549,0,0,0,0,0,1,0
101,22,2.430555556,3.685185326,0,0,1,1,0,1,1
101,10,1.611111111,2.097222222,0,0,1,0,0,1,1
101,2,4.981481764,4.981481764,0,0,1,1,1,1,1
101,14,4.101851993,4.106481764,0,1,0,1,1,0,1
101,15,1.958333333,1.675925997,0,0,0,0,1,0,0
101,5,1.962963104,2.583333333,0,0,0,0,0,0,1
101,11,2.157407549,2.157407549,0,0,1,0,1,1,0
101,13,1.069444444,1.069444444,0,0,0,0,1,0,0
101,3,1.273148219,1.819444444,0,0,1,0,0,1,1
101,12,3.425926208,3.425926208,0,1,0,0,1,0,1
101,23,4.16203732,4.115740882,0,1,0,1,1,0,1
101,20,1.875,1.875,0,0,0,0,0,0,0
101,21,1.069444444,1.060185326,0,0,1,0,0,1,0
101,7,2.189814885,2.189814885,0,0,0,0,0,0,1
101,8,2.694444444,2.694444444,0,0,0,0,0,0,1
101,24,1.212963104,1.949074215,0,0,0,1,0,0,1
101,6,2.351851993,2.351851993,0,0,0,0,0,0,0
101,9,1.050925997,1.00925933,0,0,0,0,0,0,0
101,17,1.629629771,2.00925933,0,0,1,0,1,1,1
101,19,1.180555556,1.180555556,0,0,0,0,0,0,0
101,18,1.63425933,1.76851866,0,1,0,0,1,0,1
101,1,1.740740882,1.740740882,0,0,0,0,0,0,0
102,24,4.119750977,3.707788086,0,1,0,1,1,1,1
102,22,3.797363281,3.725317383,0,1,0,1,1,0,1
102,23,3.775952148,3.775952148,0,1,0,1,1,0,1
102,20,4.862133789,4.790527344,0,1,1,1,1,1,1
102,17,4.361035156,4.058227539,0,1,0,0,1,0,1
102,9,3.587133789,3.708203125,0,1,0,0,1,1,1
102,5,3.983544922,3.646020508,0,1,1,1,1,1,1
102,16,3.283789063,3.564257813,0,1,0,1,1,0,1
102,10,2.917944336,3.598876953,0,1,1,1,1,1,1
102,8,3.571557617,4.361035156,0,1,1,0,1,1,1
102,19,3.708203125,3.772143555,0,1,0,0,1,0,1
102,7,4.102001953,3.775952148,0,1,0,0,1,0,1
102,2,3.642675781,4.075830078,0,1,0,1,1,0,1
102,21,3.720922852,3.587133789,0,1,0,1,1,0,1
102,18,4.273657227,4.254321289,0,1,1,1,1,1,1
102,15,3.586523438,3.906640625,0,1,1,1,1,1,1
102,11,3.693676758,4.031738281,0,1,0,1,1,1,1
102,1,4.453979492,4.323413086,0,1,0,0,1,0,1
102,14,3.646020508,3.797753906,0,1,1,1,1,1,1
102,4,3.93359375,4.226733398,0,0,1,0,1,1,1
102,6,4.102001953,4.102001953,0,1,1,0,1,1,1
102,13,3.44440918,4.082836914,0,1,0,0,1,1,1
102,12,4.483081055,4.029443359,0,1,1,1,1,1,1
102,3,2.261767578,2.374291992,0,0,0,0,1,0,0
103,21,3.606481481,4.444444444,0,1,1,0,1,1,0
103,17,4.12962963,4.643518519,0,1,1,1,1,1,1
103,23,3.430555556,4.652777778,0,0,1,1,1,1,1
103,13,3.194444444,4.583333333,0,1,1,1,1,1,1
103,20,5.115740741,3.574074074,0,1,1,0,1,1,0
103,19,3.296296296,3.925925926,0,1,1,1,1,1,1
103,8,4.189814815,3.555555556,0,0,1,1,0,1,1
103,9,2.564814815,3.740740741,0,1,1,0,1,1,0
103,22,3.75462963,4.708333333,0,1,1,1,1,1,1
103,15,5.407407407,3.652777778,0,1,1,1,1,1,1
103,14,4.425925926,4.912037037,0,0,0,1,1,0,1
103,5,4.032407407,2.643518519,0,1,0,1,1,0,1
103,6,3.833333333,4.643518519,0,0,1,1,1,1,1
103,24,4.425925926,4.425925926,0,0,0,1,1,0,1
103,3,3.453703704,4.023148148,0,1,1,0,1,1,1
103,12,2.921296296,5.236111111,0,1,1,1,1,1,1
103,18,3.953703704,5.101851852,0,1,1,1,1,1,1
103,4,3.458333333,4.398148148,0,1,1,1,1,1,1
103,7,3.546296296,4.967592593,0,1,1,1,1,1,1
103,16,4.680555556,4.50462963,0,1,1,1,1,1,1
103,10,3.023148148,4.416666667,0,1,1,0,1,1,0
103,11,3.472222222,4.203703704,0,1,1,0,1,1,1
103,1,2.75462963,4.175925926,0,1,1,1,1,1,1
103,2,3.064814815,2.425925926,0,1,1,0,1,1,0
104,5,4.248697917,5.86328125,0,1,0,0,1,0,1
104,1,4.203125,4.938802083,0,1,1,1,1,1,1
104,6,2.790364583,3.434895833,0,0,0,0,1,0,0
104,10,2.30859375,2.653645833,0,1,1,1,1,1,1
104,21,1.462239583,1.41015625,0,0,1,1,1,1,1
104,12,5.544270833,5.231770833,0,1,1,1,1,1,1
104,7,2.85546875,3.32421875,0,0,0,1,0,0,1
104,8,4.665364583,4.326822917,0,1,1,1,1,1,1
104,4,4.079427083,4.73046875,0,1,0,1,1,1,1
104,24,4.7109375,5.147135417,0,1,1,1,1,1,1
104,14,3.649739583,5.029947917,0,1,0,1,1,1,1
104,19,1.99609375,2.42578125,0,1,1,1,1,1,1
104,22,3.102864583,3.395833333,0,1,0,1,1,0,1
104,23,3.994791667,3.486979167,0,1,0,1,1,1,1
104,20,4.645833333,3.786458333,0,1,1,1,1,1,1
104,18,4.22265625,4.430989583,0,1,1,1,1,1,1
104,17,4.580729167,4.307291667,0,0,1,1,1,1,1
104,11,5.0234375,5.186197917,0,1,1,1,1,1,1
104,2,3.936197917,3.936197917,0,1,1,1,1,1,1
104,3,3.903645833,4.177083333,0,1,1,1,1,1,1
104,15,2.85546875,3.565104167,0,0,1,1,1,1,1
104,9,4.001302083,4.411458333,0,1,1,1,1,1,1
104,16,4.802083333,4.854166667,0,1,1,0,1,1,1
104,13,2.608072917,2.81640625,0,1,0,1,1,1,1
105,22,2.763674614,2.763674614,0,0,0,0,0,0,0
105,4,4.481767181,3.310659187,0,1,0,1,1,1,1
105,7,3.142356241,3.135343619,0,0,1,0,0,1,0
105,15,3.836605891,4.011921459,0,0,0,0,0,0,0
105,9,1.298036466,1.298036466,0,0,1,0,0,1,0
105,10,3.941795231,4.03997195,0,1,0,0,1,0,0
105,19,3.584151473,3.584151473,0,0,0,0,0,0,0
105,13,1.045582048,1.031556802,0,1,0,0,1,0,0
105,17,4.860448808,4.629032258,0,0,1,1,1,1,1
105,21,5.940392707,5.97545582,0,1,0,1,1,1,1
105,6,3.457924264,3.457924264,0,0,0,1,1,1,1
105,12,4.825385694,5.596774194,0,1,1,1,1,1,1
